id,date,target
AS14.07,2014-05-04,8.0
AS14.07,2014-05-05,5.5
AS14.08,2014-03-22,6.4
AS14.08,2014-03-23,7.2
AS14.08,2014-03-24,6.8
AS14.08,2014-03-25,7.2
AS14.08,2014-03-26,6.5
AS14.08,2014-03-27,6.333333333333333
AS14.08,2014-03-28,6.25
AS14.08,2014-03-29,7.166666666666667
AS14.08,2014-03-30,6.8
AS14.08,2014-03-31,7.6
AS14.08,2014-04-01,7.2
AS14.08,2014-04-02,6.6
AS14.08,2014-04-03,7.0
AS14.08,2014-04-04,7.5
AS14.08,2014-04-05,7.4
AS14.08,2014-04-06,7.6
AS14.08,2014-04-07,7.0
AS14.08,2014-04-08,6.5
AS14.08,2014-04-09,6.25
AS14.08,2014-04-10,7.6
AS14.08,2014-04-11,7.6
AS14.08,2014-04-12,7.0
AS14.08,2014-04-13,7.6
AS14.08,2014-04-14,6.6
AS14.08,2014-04-15,6.4
AS14.08,2014-04-16,6.6
AS14.08,2014-04-17,6.2
AS14.08,2014-04-18,6.0
AS14.08,2014-04-19,7.8
AS14.08,2014-04-20,6.4
AS14.08,2014-04-21,6.4
AS14.08,2014-04-22,6.0
AS14.08,2014-04-23,5.6
AS14.08,2014-04-24,6.666666666666667
AS14.08,2014-04-25,6.333333333333333
AS14.08,2014-04-26,6.0
AS14.08,2014-04-27,6.0
AS14.08,2014-04-28,5.8
AS14.08,2014-04-29,5.75
AS14.08,2014-04-30,6.666666666666667
AS14.08,2014-05-01,7.0
AS14.08,2014-05-02,7.2
AS14.08,2014-05-03,7.4
AS14.08,2014-05-04,6.8
AS14.08,2014-05-05,6.666666666666667
AS14.09,2014-03-27,7.8
AS14.09,2014-03-28,8.25
AS14.09,2014-03-29,8.0
AS14.09,2014-03-30,7.75
AS14.09,2014-03-31,7.0
AS14.09,2014-04-01,7.6
AS14.09,2014-04-02,6.2
AS14.09,2014-04-03,7.6
AS14.09,2014-04-04,7.25
AS14.09,2014-04-05,7.5
AS14.09,2014-04-06,6.8
AS14.09,2014-04-07,6.2
AS14.09,2014-04-08,7.2
AS14.09,2014-04-09,6.5
AS14.09,2014-04-10,6.0
AS14.09,2014-04-11,6.8
AS14.09,2014-04-12,7.0
AS14.09,2014-04-13,6.0
AS14.09,2014-04-14,5.8
AS14.09,2014-04-15,6.0
AS14.09,2014-04-16,5.5
AS14.09,2014-04-17,7.0
AS14.09,2014-04-18,6.6
AS14.09,2014-04-19,8.0
AS14.09,2014-04-20,6.25
AS14.09,2014-04-21,6.5
AS14.09,2014-04-22,6.6
AS14.09,2014-04-23,6.333333333333333
AS14.09,2014-04-24,7.2
AS14.09,2014-04-25,7.25
AS14.09,2014-04-26,8.0
AS14.09,2014-04-27,6.25
AS14.12,2014-04-01,6.4
AS14.12,2014-04-02,6.0
AS14.12,2014-04-03,5.4
AS14.12,2014-04-04,6.5
AS14.12,2014-04-05,6.2
AS14.12,2014-04-06,6.25
AS14.12,2014-04-07,6.4
AS14.12,2014-04-08,6.25
AS14.12,2014-04-09,5.25
AS14.12,2014-04-10,6.4
AS14.12,2014-04-11,6.6
AS14.12,2014-04-12,6.8
AS14.12,2014-04-13,5.6
AS14.12,2014-04-14,6.6
AS14.12,2014-04-15,6.8
AS14.12,2014-04-16,7.0
AS14.12,2014-04-17,6.8
AS14.12,2014-04-18,6.6
AS14.12,2014-04-19,5.8
AS14.12,2014-04-20,6.4
AS14.12,2014-04-21,6.0
AS14.12,2014-04-22,6.5
AS14.12,2014-04-23,5.8
AS14.12,2014-04-24,6.6
AS14.12,2014-04-25,5.6
AS14.12,2014-04-26,7.0
AS14.12,2014-04-27,6.0
AS14.12,2014-04-28,6.6
AS14.12,2014-04-29,6.0
AS14.12,2014-04-30,6.25
AS14.12,2014-05-01,6.2
AS14.12,2014-05-02,5.5
AS14.12,2014-05-03,5.6
AS14.12,2014-05-04,4.8
AS14.12,2014-05-05,6.0
AS14.13,2014-03-25,7.6
AS14.13,2014-03-26,8.4
AS14.13,2014-03-27,7.4
AS14.13,2014-03-28,7.6
AS14.13,2014-03-29,7.2
AS14.13,2014-03-30,6.2
AS14.13,2014-03-31,7.0
AS14.13,2014-04-01,7.5
AS14.13,2014-04-02,7.4
AS14.13,2014-04-03,7.6
AS14.13,2014-04-04,7.8
AS14.13,2014-04-05,6.8
AS14.13,2014-04-06,6.25
AS14.13,2014-04-07,7.4
AS14.13,2014-04-08,8.2
AS14.13,2014-04-09,7.8
AS14.13,2014-04-10,7.6
AS14.13,2014-04-11,6.8
AS14.13,2014-04-12,6.8
AS14.13,2014-04-13,6.6
AS14.13,2014-04-14,6.8
AS14.13,2014-04-15,6.0
AS14.13,2014-04-16,6.0
AS14.13,2014-04-17,6.4
